30596,-15411,-471514956,-471514956
1656,18364,30410784,30410784
5837,-7232,-42336128,-42213184
-12488,-19361,241780168,241780168
-31858,7575,-241324350,-241324350
-28395,5280,-149925600,-149925600
17491,-28230,-493742700,-493770930
-18511,-7826,144867086,144867086
-22113,5945,-131461785,-131461785
27987,22941,642026826,642049767
-17134,19916,-341240744,-341240744
-24111,30111,-725524545,-726006321
19922,-29177,-581731026,-581264194
-863,-3437,2966131,2966131
-8110,-1825,14800750,14800750
-4132,20636,-85267952,-85267952
-14061,26454,-371996148,-371969694
-24165,-14847,358777755,358777755
4455,29800,132759000,132759000
-394,20484,-8070696,-8070696
-32534,32012,-1041478408,-1041478408
-18550,-20497,380219350,380219350
-21590,-24726,533834340,533834340
13271,23113,307102431,306732623
-11094,-19952,221347488,221347488
-25013,-28749,719098737,719098737
4054,22355,90984850,90627170
-5794,19039,-110311966,-110311966
9206,-6505,-59885030,-59885030
-17268,18073,-312084564,-312084564
-24894,32442,-807611148,-807611148
-31867,92,-2931764,-2931764
-13138,-1453,19089514,19089514
27253,-19094,-520368782,-520368782
-18051,-3070,55413500,55416570
24114,24293,585412714,585801402
12351,-13179,-162773829,-162773829
3241,-17710,-57398110,-57398110
-16695,-25644,427716276,428126580
-8340,17295,-144240300,-144240300
-20410,16361,-333928010,-333928010
936,13993,13097448,13097448
4595,20866,95858404,95879270
24684,-29170,-720032280,-720032280
-21856,11909,-260283104,-260283104
-21615,2070,-44743050,-44743050
3346,-2747,-9191462,-9191462
18195,8272,150500768,150509040
-32555,32604,-1060901556,-1061423220
25672,4764,122301408,122301408
4768,26201,124926368,124926368
-3656,-9355,34201880,34201880
-28449,3573,-101648277,-101648277
-27655,13819,-382164445,-382164445
-31626,-30462,963391212,963391212
-17566,-25183,442364578,442364578
15196,-17451,-265185396,-265185396
-27145,19709,-535000805,-535000805
-16347,14947,-244338609,-244338609
2644,17593,46515892,46515892
-7407,26562,-196744734,-196744734
-14333,15638,-224155092,-224139454
10420,23111,240816620,240816620
15108,-19466,-294092328,-294092328
-7205,-3331,23999855,23999855
-28691,-7439,213424910,213432349
7608,-14156,-107698848,-107698848
-20115,-14243,286483702,286497945
-24841,15433,-383371153,-383371153
18840,8148,153508320,153508320
-1072,26487,-27970272,-28394064
-14140,25624,-362323360,-362323360
30382,9950,302300900,302300900
22365,-10776,-241016016,-241005240
8835,5495,48542830,48548325
-7291,26792,-195340472,-195340472
-13984,-28874,403774016,403774016
5837,-8353,-48898462,-48756461
-2188,-19970,43694360,43694360
25070,-19967,-500572690,-500572690
-2064,22462,-46361568,-46361568
-5164,8317,-42815916,-42948988
-11002,7119,-78323238,-78323238
-24371,9345,-227588130,-227746995
24458,23908,584741864,584741864
12350,31357,387258950,387258950
7758,13358,103631364,103631364
1203,-24637,-29613674,-29638311
25302,-32251,-816530818,-816014802
18840,-13480,-253963200,-253963200
13431,-8265,-111007215,-111007215
-5240,-937,4909880,4909880
24702,-22849,-564415998,-564415998
-27277,-3474,94763772,94760298
30068,-2270,-68254360,-68254360
-19328,9310,-179943680,-179943680
-17640,-21989,387885960,387885960
29704,-12277,-364676008,-364676008
15906,24032,382252992,382252992
-16277,-3333,54251241,54251241
-12684,27682,-351118488,-351118488
18235,17871,325877685,325877685
-2625,-3430,9003750,9003750
28777,18091,520604707,520604707
-442,-12730,5626660,5626660
27644,12789,353539116,353539116
-2873,-26221,75332933,75332933
8957,639,5724162,5723523
